date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:42	246497/246497	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-3c2e1%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MOOC-ANSSI.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MOOC-ANSSI.png	(from https://mohamedbanane.com/)
10:10:43	146203/146203	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-23b1b%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MOOC-ANSSI.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MOOC-ANSSI.pdf	(from https://mohamedbanane.com/)
10:10:43	583253/583253	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-8e655%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MOOC-RGPD-CNIL-1.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MOOC-RGPD-CNIL-1.png	(from https://mohamedbanane.com/)
10:10:43	79462/79462	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-13666%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%201.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%201.png	(from https://mohamedbanane.com/)
10:10:43	104718/104718	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-1990e%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%201.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%201.pdf	(from https://mohamedbanane.com/)
10:10:44	581186/581186	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-8de42%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MOOC-RGPD-CNIL-2.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MOOC-RGPD-CNIL-2.png	(from https://mohamedbanane.com/)
10:10:44	75637/75637	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-12775%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%202.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%202.png	(from https://mohamedbanane.com/)
10:10:44	105017/105017	---M--	200	added ('OK')	application/pdf	etag:%2267c8dc5a-19a39%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%202.pdf	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%202.pdf	(from https://mohamedbanane.com/)
10:10:44	376526/376526	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-5bece%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MOOC-RGPD-CNIL-3.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/MOOC-RGPD-CNIL-3.png	(from https://mohamedbanane.com/)
10:10:44	74586/74586	---M--	200	added ('OK')	image/png	etag:%2267c8dc5a-1235a%22	https://mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%203.png	C:/Mes%20Sites%20Web/Portefolio/mohamedbanane.com/portfolio/img/dipl%c3%b4mes%20-%20certifications/Certificat%20de%20suivi%20-%20MODULE%203.png	(from https://mohamedbanane.com/)
